a1:2, a3:5, m: 1, u0: 1

i: RK, Exact, inaccuracy
420: 0.000118129, 0.000122625, 4.49577e-06
421: 0.000115786, 0.000120197, 4.41065e-06
422: 0.000113489, 0.000117817, 4.32713e-06
423: 0.000111238, 0.000115484, 4.2452e-06
424: 0.000109032, 0.000113197, 4.16481e-06
425: 0.00010687, 0.000110955, 4.08594e-06
426: 0.00010475, 0.000108758, 4.00856e-06
427: 0.000102672, 0.000106605, 3.93264e-06
428: 0.000100636, 0.000104494, 3.85816e-06
429: 9.86397e-05, 0.000102425, 3.78508e-06
430: 9.66833e-05, 0.000100397, 3.71339e-06
431: 9.47656e-05, 9.84087e-05, 3.64305e-06
432: 9.2886e-05, 9.64601e-05, 3.57404e-06
433: 9.10437e-05, 9.455e-05, 3.50633e-06
434: 8.92379e-05, 9.26778e-05, 3.43991e-06
435: 8.74679e-05, 9.08427e-05, 3.37474e-06
436: 8.57331e-05, 8.90439e-05, 3.3108e-06
437: 8.40326e-05, 8.72807e-05, 3.24807e-06
438: 8.23659e-05, 8.55524e-05, 3.18653e-06
439: 8.07322e-05, 8.38584e-05, 3.12615e-06
440: 7.91309e-05, 8.21978e-05, 3.06691e-06
441: 7.75614e-05, 8.05702e-05, 3.0088e-06
442: 7.6023e-05, 7.89748e-05, 2.95178e-06
443: 7.45152e-05, 7.7411e-05, 2.89584e-06
444: 7.30372e-05, 7.58782e-05, 2.84095e-06
445: 7.15886e-05, 7.43757e-05, 2.78711e-06
446: 7.01687e-05, 7.29029e-05, 2.73428e-06
447: 6.87769e-05, 7.14594e-05, 2.68246e-06
448: 6.74128e-05, 7.00444e-05, 2.63161e-06
449: 6.60757e-05, 6.86574e-05, 2.58173e-06
450: 6.47651e-05, 6.72979e-05, 2.53279e-06
451: 6.34805e-05, 6.59653e-05, 2.48477e-06
452: 6.22215e-05, 6.46591e-05, 2.43766e-06
453: 6.09873e-05, 6.33788e-05, 2.39145e-06
454: 5.97777e-05, 6.21238e-05, 2.34611e-06
455: 5.8592e-05, 6.08937e-05, 2.30162e-06
456: 5.74299e-05, 5.96879e-05, 2.25798e-06
457: 5.62908e-05, 5.8506e-05, 2.21517e-06
458: 5.51743e-05, 5.73475e-05, 2.17316e-06
459: 5.408e-05, 5.62119e-05, 2.13195e-06
460: 5.30073e-05, 5.50989e-05, 2.09152e-06
461: 5.1956e-05, 5.40078e-05, 2.05186e-06
462: 5.09255e-05, 5.29384e-05, 2.01294e-06
463: 4.99154e-05, 5.18902e-05, 1.97476e-06
464: 4.89254e-05, 5.08627e-05, 1.93731e-06
465: 4.7955e-05, 4.98555e-05, 1.90056e-06
466: 4.70038e-05, 4.88683e-05, 1.86451e-06
467: 4.60715e-05, 4.79007e-05, 1.82914e-06
468: 4.51577e-05, 4.69522e-05, 1.79444e-06
469: 4.4262e-05, 4.60224e-05, 1.7604e-06
470: 4.33841e-05, 4.51111e-05, 1.727e-06
471: 4.25236e-05, 4.42179e-05, 1.69424e-06
472: 4.16802e-05, 4.33423e-05, 1.66209e-06
473: 4.08535e-05, 4.24841e-05, 1.63056e-06
474: 4.00432e-05, 4.16428e-05, 1.59962e-06
475: 3.9249e-05, 4.08182e-05, 1.56926e-06
476: 3.84705e-05, 4.001e-05, 1.53949e-06
477: 3.77075e-05, 3.92177e-05, 1.51027e-06
